,id,from,to,date,upcoming,season,marketValue,fee
11,93763,70840,37897,"Jul 1, 2005",False,05/06,,free transfer
0,203411,89,515,"Jul 1, 2024",True,24/25,€250k,
1,203411,190,89,"Jan 15, 2016",False,15/16,€300k,€268k
2,203411,6399,190,"Dec 31, 2015",False,15/16,€300k,End of loan
3,203411,190,6399,"Jan 19, 2015",False,14/15,€350k,loan transfer
4,203411,2414,190,"Dec 31, 2014",False,14/15,€350k,End of loan
5,203411,190,2414,"Jul 1, 2014",False,14/15,€350k,loan transfer
6,203411,16104,190,"Jul 1, 2012",False,12/13,,
7,203411,52880,16104,"Jul 1, 2010",False,10/11,,
0,387047,499,89,"Jul 1, 2022",False,22/23,€4.00m,free transfer
1,387047,8817,499,"Jul 4, 2018",False,18/19,€250k,€250k
2,387047,2824,8817,"Jul 1, 2017",False,17/18,€150k,
3,387047,14350,2824,"Jul 1, 2016",False,16/17,€150k,free transfer
4,387047,50204,14350,"Jul 1, 2015",False,15/16,,
5,387047,73271,50204,"Jul 1, 2006",False,06/07,,free transfer
0,357156,720,89,"Jul 1, 2023",False,23/24,€15.00m,€7.50m
1,357156,89,720,"Jun 30, 2023",False,22/23,€15.00m,End of loan
2,357156,720,89,"Jul 16, 2022",False,22/23,€7.00m,"Loan fee:<br /><i class=""normaler-text"">€500k</i>"
3,357156,1075,720,"Jun 30, 2022",False,21/22,€7.00m,End of loan
4,357156,720,1075,"Aug 31, 2021",False,21/22,€10.00m,loan transfer
5,357156,10331,720,"Jul 1, 2019",False,19/20,€5.00m,
6,357156,9844,10331,"Jul 1, 2017",False,17/18,,
7,357156,47962,9844,"Jul 1, 2016",False,16/17,,
8,357156,57748,47962,"Jan 1, 2015",False,14/15,,
9,357156,56765,57748,"Jul 1, 2014",False,14/15,,
10,357156,56766,56765,"Jul 1, 2012",False,12/13,,
11,357156,63313,56766,"Jul 1, 2008",False,08/09,,free transfer
0,94201,82,89,"Aug 4, 2020",False,20/21,€6.50m,free transfer
1,94201,143,82,"Jul 1, 2012",False,12/13,€250k,
2,94201,5343,143,"Jul 1, 2010",False,10/11,,
3,94201,21087,5343,"Jul 1, 2009",False,09/10,,
4,94201,12821,21087,"Jul 1, 2007",False,07/08,,
